WR Doc ID,Water Quantity,Latitude,Longitude,Color
2075742,4.488,45.86637,-120.94973,red
2118185,10.0,47.52026,-117.4521,red
2203747,0.0,46.43818,-122.95964,red
2143641,800.0,46.0371,-118.65608,red
2097059,0.0,47.65,-117.42178,red
4595743,500.0,47.13276,-119.7489,red
2170585,0.0,45.70051,-122.589,red
2250725,0.0,47.25014,-122.11235,red
2134990,179.52,47.71851,-117.34142,red
2139960,1000.0,47.26981,-118.34008,red
2078038,44.88,47.99827,-120.21201,red
2144481,1260.0,46.3074,-119.14675,red
2104536,5.0,46.62612,-117.09867,blue
2081056,480.0,46.13381,-119.05258,red
2071782,5.0,46.55733,-120.59713,red
2203749,0.0,46.17744,-122.91886,red
2140304,3000.0,46.41165,-120.74414,red
2217351,20.0,46.93204,-123.31671,red
2051552,0.0,47.35646,-119.99521,red
2169023,0.0,47.25083,-122.96092,red
2269177,0.0,48.33358,-122.02097,red
2119569,0.0,48.05338,-117.25183,red
2197314,0.0,46.46703,-122.83499,red
2035896,0.13463999999999998,47.98212,-120.17229,red
2050624,0.0,46.99221,-120.59169,red
2049139,15.0,45.7738,-120.89534,red
2085535,300.0,46.26539,-119.63098,red
2165342,0.0,46.70831,-122.96381,red
2069657,4.488,48.35864,-119.74442,red
2062978,0.0,46.59898,-120.43544,red
2070433,0.5,47.05063,-120.67684,red
2213757,112.2,46.71394,-123.00339,red
2277727,13.464,47.77816,-122.17768,red
2105746,4.981680000000001,47.79342,-119.22317,red
2198307,0.0,45.68643,-122.52672,red
2257469,0.0,47.32263,-122.19761,red
2109247,20.0,46.73705,-117.353,blue
2167049,0.0,46.29289,-123.65557,red
2212308,17.952,47.00345,-122.98135,red
2153843,300.0,46.6265,-122.77159,red
2213872,8.976,48.10286,-123.48035,red
2243742,0.0,47.70116,-122.59585,red
2238895,0.0,47.51246,-122.68442,red
2078193,39.4944,46.52039,-120.88756,red
2260972,0.0,47.76921,-121.95974,red
2130200,4.488,48.17731,-118.146065,red
2226404,200.0,47.41061,-122.66337,red
2066897,10.0,46.80488,-120.91923,red
2212793,15.708000000000002,47.21076,-122.28338,red
2240866,0.0,47.39642,-122.51397,red
2228627,20.0,48.942,-122.27657,red
2148744,4.488,47.08922,-122.1346,red
2141020,80.0,46.0293,-118.38088,blue
2206692,22.44,46.5917,-122.59663,red
2268635,1.0,48.47066,-122.85544,red
2207588,269.28,46.78572,-123.06621,red
2143683,897.6,48.31106,-118.23316,red
2256475,0.0,47.33648,-122.02728,red
2276113,134.64,47.24949,-121.96337,red
2205061,0.0,47.10558,-122.39209,red
2167975,0.0,47.35289,-122.64218,red
2137659,150.0,48.63205,-117.92632,red
2255968,0.0,47.58149,-122.08923,red
2043610,0.0,46.22177,-119.79995,red
2170241,0.0,48.1233,-123.11322,red
5725202,400.0,47.116475,-119.699175,red
6802745,650.0,46.49836,-120.21965,red
2209919,4.488,47.46914,-122.98285,red
2095411,14.0,48.25361,-117.74003,red
2154549,0.0,46.41102,-124.04527,red
2246011,0.0,48.08595,-122.1731,red
2283148,11.22,48.80657,-119.70255,red
2209666,8.976,48.07483,-123.47867,red
2137366,70.0,47.29178,-118.03477,red
2134644,89.76,46.05115,-118.38103,blue
2049528,0.0,46.65831,-120.75195,red
2082365,25.0,47.88598,-119.93402,red
2259821,0.0,48.52895,-122.9849,red
2104216,9.963360000000002,48.77676,-118.56101,red
2065167,95.0,47.50163,-120.42095,red
2122387,0.0,46.24896,-119.19058,red
2166117,0.0,47.45464,-122.8112,red
2162961,0.0,45.80193,-122.58948,red
2131035,40.392,48.72625,-117.63218,red
2098992,500.0,47.14402,-119.29685,red
4289287,359.04,48.06335,-123.15413,red
2119860,0.0,48.1451,-117.12312,red
2036285,628320.0,45.86279,-121.49702,red
6801673,2244.0,48.834945,-119.115995,red
2207433,8.976,46.62525,-123.28024,red
2147647,50.0,47.2648,-122.74846,red
2045267,0.0,45.88999,-120.87462,red
2183224,0.0,46.74394,-124.091,red
2199210,0.0,46.46866,-121.87521,red
2090641,44.88,46.72682,-117.0859,blue
2189602,0.0,46.93095,-122.96058,red
2192276,0.0,45.62861,-122.46556,red
2286025,30.0,47.41626,-122.60208,red
2267079,0.0,47.32073,-121.85918,red
2106451,19.9716,48.49411,-117.9626,red
2265463,0.0,48.07219,-121.97975,red
2114367,9.8736,48.23013,-117.09783,red
2060962,0.0,47.18218,-120.86759,red
2040128,0.0,46.57055,-120.49895,red
2203728,0.0,46.20652,-123.14213,red
2103321,0.0,47.65,-117.42178,red
2111110,0.0,47.17003,-119.52279,red
2258214,0.0,48.0653,-122.68359,red
2177915,0.0,46.67082,-123.82987,red
2166484,0.0,47.09079,-122.86812,red
2246076,0.0,47.92808,-122.45264,red
2095854,0.0,47.20999,-119.99433,red
2140414,110.0,45.74049,-121.46878,red
4458499,50.0,46.39471,-122.93868,red
2085603,100.0,46.38276,-120.51281,red
2125968,9.8736,46.69863,-117.49466,blue
2230247,0.0,48.7969,-122.56256,red
2050654,25.0,46.20741,-119.98158,red
2253376,0.0,47.72556,-122.08808,red
2104116,0.0,47.37053,-117.94077,red
2107184,0.0,47.98073,-117.20884,red
2068784,67.0,46.14631,-119.02332,red
2233530,0.0,47.46547,-121.98296,red
2126454,60.0,47.48683,-117.89703,red
2177906,0.0,46.97305,-122.36837,red
2229320,0.0,48.85448,-122.29948,red
2243770,0.0,47.55559,-122.57798,red
2246938,0.0,48.97181,-122.45187,red
6802804,1500.0,47.29964,-118.91306,red
2104327,24.0,47.59971,-117.76344,red
4188337,4.488,48.309565,-118.123465,red
2211008,8.976,46.2987,-122.96123,red
2129876,8.976,46.96314,-118.25602,red
2198907,0.0,47.35336,-123.06801,red
2247448,0.0,47.80221,-122.53072,red
2090871,448.8,47.76567,-117.44299,red
2274113,8.3028,48.73875,-122.36637,red
2190286,0.0,45.59999,-122.32176,red
2236283,0.0,47.49787,-122.57799,red
2137182,25.0,47.66889,-117.91071,red
6802013,8000.0,47.37868,-119.25323,red
2067719,10.0,46.55743,-120.63919,red
2103768,0.0,47.67909,-118.08725,red
2285009,100.0,47.6869,-122.61697,red
2066721,0.0,47.11155,-120.33671,red
6800066,1500.0,47.29964,-118.91306,red
2063518,0.0,46.24947,-119.29554,red
2082434,100.0,46.25565,-119.73477,red
4597562,75.0,46.29462,-119.14453,red
2268633,0.0,47.76921,-121.95974,red
2209326,35.904,46.20125,-123.03877,red
2162512,0.0,46.29344,-122.91726,red
2263388,0.0,48.27548,-122.69138,red
2150801,130.0,46.98907,-122.93934,red
2052856,0.0,47.51659,-120.01646,red
2082056,300.0,46.54942,-120.68421,red
2267823,0.0,47.46877,-122.55658,red
2069072,0.0,48.44586,-119.52734,red
2279344,150.0,48.50682,-122.40852,red
2138800,2500.0,46.58896,-118.92491,red
2232626,0.0,47.77049,-122.34556,red
6800996,20.0,47.63985,-120.22242,red
2224494,4.488,47.76799,-121.89451,red
2103248,1.7952000000000001,46.66415,-117.59175,blue
2203457,0.0,45.78773,-122.56869,red
2226113,27.0,47.43673,-122.0049,red
2272363,14.810400000000001,48.67229,-122.38605,red
2279042,20.0,48.45081,-122.80934,red
2229812,0.0,48.98612,-122.606,red
2224646,224.4,47.39351,-121.45338,red
2058708,0.0,46.57157,-121.00137,red
2211600,4.488,47.19731,-122.52442,red
2145657,28067.952,46.24799,-118.85712,red
2037294,0.0,48.49026,-120.15441,red
2249717,0.0,48.94312,-122.73719,red
2128795,50.0,46.79817,-118.9468,red
2281680,220.0,47.65402,-122.30121,red
2114435,0.0,46.55248,-118.10448,blue
2201282,0.0,47.34801,-123.0467,red
4584438,30.0,48.09421,-123.11313,red
2183575,0.0,46.97141,-122.94828,red
2224713,89.76,47.4686,-122.64207,red
2247159,0.0,47.64296,-122.51041,red
2135428,996.3360000000001,46.847505,-117.646625,blue
2071746,0.0,46.55591,-120.38559,red
4258429,371.0,46.00732,-118.4229,red
